Title,Locate,Rate,Link_image
Ba Gác - Nướng & Bia Nam Kỳ Khởi Nghĩa  ,"Số 61 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Q. 1",4,https://pasgo.vn/Upload/anh-diem-den/ba-gac-nuong-and-bia-nam-ky-khoi-nghia-300-165041124047.jpg
Nhà Hàng Buffet Pachi Pachi 52 Mạc Đĩnh Chi Quận 1,"52 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",4,https://pasgo.vn/Upload/anh-diem-den/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-300-1215472712.jpg
Anrakutei Japanese BBQ Mạc Đĩnh Chi   ,"Số 59 Mạc Đĩnh Chi, P. Đa Kao, Q 1",4,https://pasgo.vn/Upload/anh-diem-den/anrakutei-japanese-bbq-mac-dinh-chi-300-123443213799.jpg
Nhà hàng Mộc – Riêu & Nướng Võ Văn Kiệt,"Số 318 Võ Văn Kiệt, P. Cô Giang, Q. 1",4,https://pasgo.vn/Upload/anh-diem-den/nha-hang-moc-rieu-and-nuong-vo-van-kiet-300-13162011850.jpg
Gyu-Kaku Lê Thánh Tôn,"Số 15/7 Lê Thánh Tôn, P. Bến Nghé, Q.1, Tp.HCM",3.8,https://pasgo.vn/Upload/anh-diem-den/gyu-kaku-le-thanh-ton-300-175832504178.jpg
Warning Zone Lý Tự Trọng,"Số 72 Lý Tự Trọng, P. Bến Thành, Q. 1",3.8,https://pasgo.vn/Upload/anh-diem-den/warning-zone-ly-tu-trong-300-37729692684.jpg
King BBQ Buffet Mạc Đĩnh Chi Quận 1,"Số 38 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",4.2,https://pasgo.vn/Upload/anh-diem-den/king-bbq-buffet-mac-dinh-chi-quan-1-300-12994861648.jpg
Urban BBQ Nguyễn Bỉnh Khiêm,"Số 11B Nguyễn Bỉnh Khiêm, P. Bến Nghé, Q.1",3.9,https://pasgo.vn/Upload/anh-diem-den/urban-bbq-nguyen-binh-khiem-300-147566063992.jpg
King BBQ Takashiyama,"Gian hàng L5-03, Lầu 5, Tòa nhà Saigon Center, Số 92-94 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",4,https://pasgo.vn/Assets/Images/holder/img-holder-600x600.png
GoGi House Quang Trung,"Số 1 Quang Trung, Phường 3, Quận Gò Vấp",3.9,https://pasgo.vn/Assets/Images/holder/img-holder-600x600.png
